timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743886690286,326,HTTP Request,200,OK,Thread Group 1-18,text,true,,302,231,21,21,http://localhost:3149/transaction,326,0,1
1743886690229,401,HTTP Request,200,OK,Thread Group 1-2,text,true,,302,231,21,21,http://localhost:3066/transaction,401,0,1
1743886690331,335,HTTP Request,200,OK,Thread Group 1-13,text,true,,302,231,21,21,http://localhost:3208/transaction,335,0,0
1743886690354,414,HTTP Request,200,OK,Thread Group 1-10,text,true,,302,231,22,22,http://localhost:3255/transaction,414,0,1
1743886690226,544,HTTP Request,200,OK,Thread Group 1-7,text,true,,302,231,22,22,http://localhost:3023/transaction,544,0,0
1743886690418,388,HTTP Request,200,OK,Thread Group 1-14,text,true,,302,231,23,23,http://localhost:3170/transaction,388,0,1
1743886690376,433,HTTP Request,200,OK,Thread Group 1-5,text,true,,302,231,23,23,http://localhost:3222/transaction,433,0,1
1743886690381,444,HTTP Request,200,OK,Thread Group 1-12,text,true,,302,231,23,23,http://localhost:3188/transaction,444,0,2
1743886690404,440,HTTP Request,200,OK,Thread Group 1-11,text,true,,302,231,23,23,http://localhost:3237/transaction,440,0,1
1743886690484,426,HTTP Request,200,OK,Thread Group 1-15,text,true,,302,231,24,24,http://localhost:3053/transaction,426,0,1
1743886690484,452,HTTP Request,200,OK,Thread Group 1-20,text,true,,302,231,24,24,http://localhost:3065/transaction,452,0,2
1743886690556,393,HTTP Request,200,OK,Thread Group 1-17,text,true,,302,231,24,24,http://localhost:3198/transaction,393,0,1
1743886690363,589,HTTP Request,200,OK,Thread Group 1-6,text,true,,302,231,24,24,http://localhost:3029/transaction,589,0,3
1743886690462,500,HTTP Request,200,OK,Thread Group 1-1,text,true,,302,231,24,24,http://localhost:3153/transaction,500,0,1
1743886690385,584,HTTP Request,200,OK,Thread Group 1-19,text,true,,302,231,24,24,http://localhost:3196/transaction,584,0,1
1743886690479,495,HTTP Request,200,OK,Thread Group 1-16,text,true,,302,231,24,24,http://localhost:3228/transaction,495,0,1
1743886690585,398,HTTP Request,200,OK,Thread Group 1-21,text,true,,302,231,24,24,http://localhost:3053/transaction,398,0,0
1743886690612,460,HTTP Request,200,OK,Thread Group 1-8,text,true,,302,231,25,25,http://localhost:3221/transaction,460,0,0
1743886690631,473,HTTP Request,200,OK,Thread Group 1-2,text,true,,302,231,26,26,http://localhost:3062/transaction,473,0,0
1743886690575,537,HTTP Request,200,OK,Thread Group 1-3,text,true,,302,231,26,26,http://localhost:3109/transaction,537,0,1
1743886690686,433,HTTP Request,200,OK,Thread Group 1-22,text,true,,302,231,26,26,http://localhost:3172/transaction,433,0,0
1743886690558,566,HTTP Request,200,OK,Thread Group 1-4,text,true,,302,231,26,26,http://localhost:3226/transaction,566,0,1
1743886690613,564,HTTP Request,200,OK,Thread Group 1-18,text,true,,302,231,26,26,http://localhost:3143/transaction,564,0,0
1743886690603,633,HTTP Request,200,OK,Thread Group 1-9,text,true,,302,231,27,27,http://localhost:3209/transaction,633,0,1
1743886690666,658,HTTP Request,200,OK,Thread Group 1-13,text,true,,302,231,28,28,http://localhost:3002/transaction,658,0,1
1743886690809,529,HTTP Request,200,OK,Thread Group 1-5,text,true,,302,231,28,28,http://localhost:3237/transaction,529,0,3
1743886690770,627,HTTP Request,200,OK,Thread Group 1-7,text,true,,302,231,29,29,http://localhost:3174/transaction,627,0,1
1743886690769,631,HTTP Request,200,OK,Thread Group 1-10,text,true,,302,231,29,29,http://localhost:3061/transaction,631,0,0
1743886690845,566,HTTP Request,200,OK,Thread Group 1-11,text,true,,302,231,29,29,http://localhost:3203/transaction,566,0,0
1743886690786,633,HTTP Request,200,OK,Thread Group 1-23,text,true,,302,231,29,29,http://localhost:3210/transaction,633,0,0
1743886690937,496,HTTP Request,200,OK,Thread Group 1-20,text,true,,303,231,29,29,http://localhost:3248/transaction,496,0,0
1743886690806,630,HTTP Request,200,OK,Thread Group 1-14,text,true,,302,231,29,29,http://localhost:3239/transaction,630,0,1
1743886690826,625,HTTP Request,200,OK,Thread Group 1-12,text,true,,303,231,29,29,http://localhost:3178/transaction,625,0,0
1743886690971,483,HTTP Request,200,OK,Thread Group 1-19,text,true,,303,231,29,29,http://localhost:3023/transaction,483,0,1
1743886690985,603,HTTP Request,200,OK,Thread Group 1-21,text,true,,303,231,31,31,http://localhost:3135/transaction,603,0,0
1743886690987,601,HTTP Request,200,OK,Thread Group 1-25,text,true,,303,231,31,31,http://localhost:3195/transaction,601,0,0
1743886690963,656,HTTP Request,200,OK,Thread Group 1-1,text,true,,303,231,31,31,http://localhost:3047/transaction,656,0,1
1743886691087,538,HTTP Request,200,OK,Thread Group 1-26,text,true,,303,231,31,31,http://localhost:3221/transaction,538,0,0
1743886690975,651,HTTP Request,200,OK,Thread Group 1-16,text,true,,303,231,31,31,http://localhost:3245/transaction,651,0,1
1743886690950,679,HTTP Request,200,OK,Thread Group 1-17,text,true,,303,231,31,31,http://localhost:3077/transaction,679,0,1
1743886690954,751,HTTP Request,200,OK,Thread Group 1-6,text,true,,303,231,32,32,http://localhost:3154/transaction,751,0,1
1743886690885,842,HTTP Request,200,OK,Thread Group 1-24,text,true,,303,231,32,32,http://localhost:3212/transaction,842,0,1
1743886690911,820,HTTP Request,200,OK,Thread Group 1-15,text,true,,303,231,32,32,http://localhost:3046/transaction,820,0,1
1743886691113,714,HTTP Request,200,OK,Thread Group 1-3,text,true,,303,231,33,33,http://localhost:3160/transaction,714,0,0
1743886691073,757,HTTP Request,200,OK,Thread Group 1-8,text,true,,303,231,33,33,http://localhost:3138/transaction,757,0,1
1743886691120,726,HTTP Request,200,OK,Thread Group 1-22,text,true,,303,231,33,33,http://localhost:3138/transaction,726,0,1
1743886691185,716,HTTP Request,200,OK,Thread Group 1-27,text,true,,303,231,34,34,http://localhost:3135/transaction,716,0,2
1743886691125,792,HTTP Request,200,OK,Thread Group 1-4,text,true,,303,231,34,34,http://localhost:3158/transaction,792,0,1
1743886691236,740,HTTP Request,200,OK,Thread Group 1-9,text,true,,303,231,34,34,http://localhost:3154/transaction,740,0,1
1743886691105,883,HTTP Request,200,OK,Thread Group 1-2,text,true,,303,231,35,35,http://localhost:3005/transaction,882,0,0
1743886691178,860,HTTP Request,200,OK,Thread Group 1-18,text,true,,303,231,35,35,http://localhost:3194/transaction,860,0,1
1743886691286,861,HTTP Request,200,OK,Thread Group 1-28,text,true,,303,231,36,36,http://localhost:3197/transaction,861,0,0
1743886691325,855,HTTP Request,200,OK,Thread Group 1-13,text,true,,303,231,36,36,http://localhost:3074/transaction,855,0,1
1743886691338,923,HTTP Request,200,OK,Thread Group 1-5,text,true,,303,231,37,37,http://localhost:3167/transaction,923,0,0
1743886691398,906,HTTP Request,200,OK,Thread Group 1-7,text,true,,303,231,38,38,http://localhost:3067/transaction,906,0,0
1743886691500,805,HTTP Request,200,OK,Thread Group 1-30,text,true,,303,231,38,38,http://localhost:3042/transaction,805,0,7
1743886691437,878,HTTP Request,200,OK,Thread Group 1-14,text,true,,303,231,38,38,http://localhost:3243/transaction,878,0,3
1743886691590,768,HTTP Request,200,OK,Thread Group 1-21,text,true,,303,231,38,38,http://localhost:3107/transaction,768,0,1
1743886691687,672,HTTP Request,200,OK,Thread Group 1-32,text,true,,303,231,38,38,http://localhost:3162/transaction,672,0,1
1743886691401,959,HTTP Request,200,OK,Thread Group 1-10,text,true,,303,231,38,38,http://localhost:3063/transaction,959,0,3
1743886691620,741,HTTP Request,200,OK,Thread Group 1-1,text,true,,303,231,38,38,http://localhost:3237/transaction,741,0,1
1743886691385,1000,HTTP Request,200,OK,Thread Group 1-29,text,true,,303,231,38,38,http://localhost:3012/transaction,1000,0,1
1743886691455,932,HTTP Request,200,OK,Thread Group 1-19,text,true,,303,231,39,39,http://localhost:3132/transaction,932,0,2
1743886691421,969,HTTP Request,200,OK,Thread Group 1-23,text,true,,303,231,39,39,http://localhost:3200/transaction,969,0,11
1743886691831,561,HTTP Request,200,OK,Thread Group 1-8,text,true,,303,231,39,39,http://localhost:3048/transaction,561,0,1
1743886691412,986,HTTP Request,200,OK,Thread Group 1-11,text,true,,303,231,39,39,http://localhost:3181/transaction,986,0,0
1743886691706,699,HTTP Request,200,OK,Thread Group 1-6,text,true,,303,231,39,39,http://localhost:3191/transaction,699,0,0
1743886691585,830,HTTP Request,200,OK,Thread Group 1-31,text,true,,303,231,39,39,http://localhost:3045/transaction,830,0,0
1743886691589,842,HTTP Request,200,OK,Thread Group 1-25,text,true,,303,231,39,39,http://localhost:3125/transaction,842,0,2
1743886691437,1002,HTTP Request,200,OK,Thread Group 1-20,text,true,,303,231,39,39,http://localhost:3227/transaction,1002,0,3
1743886691989,459,HTTP Request,200,OK,Thread Group 1-2,text,true,,303,231,39,39,http://localhost:3063/transaction,459,0,4
1743886691901,584,HTTP Request,200,OK,Thread Group 1-27,text,true,,303,231,39,39,http://localhost:3176/transaction,584,0,1
