Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,88,26787,3,355926,65284.79,3.409%,.23223,1.17,0.08,5176.3
TOTAL,88,26787,3,355926,65284.79,3.409%,.23223,1.17,0.08,5176.3
