Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,5292,72,8,45,535,1453,2,2420,0.000%,87.41906,15751.38,30.65
TOTAL,5292,72,8,45,535,1453,2,2420,0.000%,87.41906,15751.38,30.65
