Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:HTTP Request,1112,844,2,15654,2412.07,0.180%,14.78173,8.05,5.07,557.9
TOTAL,1112,844,2,15654,2412.07,0.180%,14.78173,8.05,5.07,557.9
