Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,233,17880,445,57097,82366,329905,3,355926,1.288%,.02847,0.18,0.01
HTTP Request-0,88,13637,287,54668,71899,101852,2,108537,0.000%,.66894,0.17,0.15
HTTP Request-1,88,13149,40,18801,72449,247387,1,247390,3.409%,.23227,1.11,0.03
TOTAL,409,15949,287,54411,76125,247387,1,355926,1.467%,.04997,0.23,0.01
